circuit,n_qubits,type,gaussian_strategy,safe_passage_strategy,routing_strategy,t_routing_mode,use_layer_cache,MagicStatePlacementStrategy,number_of_magic_states,border_distance_percentage,magic_aware_strategy,parity,my_x,my_y,my_routing_steps,my_duration_s,wisq_x,wisq_y,wisq_routing_steps,wisq_duration_s,wisq_n_slots,grid_grown_for_wisq,wisq_status,ratio_wisq_over_mine,safe_passage_fallback,dim_diff_side,grow_steps
qram_n20,,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,,,,,,,,,,,error,,,,
bigadder_n18_transpiled,,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,,,,,,,,,,,error,,,,
knn_n25,,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,,,,,,,,,,,error,,,,
hhl_n10,,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,,,,,,,,,,,error,,,,
factor247_n15,,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,,,,,,,,,,,error,,,,
qaoa_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,1590,2.669609,16,16,,3.768874,64,false,failed,,,0,0
synth_n50_d040_mix050_t030_hf000_hm001_r2_s0,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,329,0.352963,14,14,,8.115146,46,false,failed,,,0,0
qaoa_n64,64,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,1252,1.133214,14,14,,6.520102,49,false,failed,,,0,0
synth_n50_d020_mix000_t030_hf000_hm001_r2_s0,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,147,0.202496,14,14,,8.176072,46,false,failed,,,0,0
vqe_real_amp_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,43,0.014984,12,12,,8.350336,36,false,failed,,,0,0
ising_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,4,0.031704,16,16,,8.203665,64,false,failed,,,0,0
vqe_su2_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,63,0.022070,14,14,,8.960193,49,false,failed,,,0,0
vqe_su2_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,93,0.031471,18,18,,8.234130,81,false,failed,,,0,0
19qubits_511gate_153layers,19,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,104,0.032976,8,8,,9.291012,16,false,failed,,,0,0
vqe_two_local_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,618,0.985750,14,14,,7.099430,49,false,failed,,,0,0
vqe_su2_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,33,0.016746,10,10,,10.665841,25,false,failed,,,0,0
vqe_real_amp_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,53,0.021554,14,14,,10.506916,49,false,failed,,,0,0
vqe_real_amp_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,23,0.022312,8,8,,10.603901,16,false,failed,,,0,0
synth_n50_d020_mix050_t030_hf000_hm001_r2_s0,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,144,0.539511,14,14,,10.850052,47,false,failed,,,0,0
ghz_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,49,0.041626,14,14,,10.916777,49,false,failed,,,0,0
ising_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,4,0.012201,8,8,,11.431124,16,false,failed,,,0,0
qft_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,349,0.763661,14,14,,9.987878,49,false,failed,,,0,0
ghz_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,59,0.043990,14,14,,11.442563,49,false,failed,,,0,0
vqe_su2_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,43,0.039621,12,12,,11.491641,36,false,failed,,,0,0
multiplier_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,4034,0.303429,8,8,,10.689883,14,false,failed,,,0,0
ising_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,4,0.012225,10,10,,10.858827,25,false,failed,,,0,0
synth_n50_d020_mix100_t030_hf000_hm001_r2_s0,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,164,0.469267,14,14,,10.358993,46,false,failed,,,0,0
ising_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,4,0.039297,6,6,,11.514798,9,false,failed,,,0,0
ghz_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,69,0.027743,16,16,,10.678017,64,false,failed,,,0,0
graphstate_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,6,0.054592,16,16,,11.543765,64,false,failed,,,0,0
wstate_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,71,0.064976,16,16,,10.733919,64,false,failed,,,0,0
vqe_su2_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,13,0.014321,6,6,,11.628582,9,false,failed,,,0,0
wstate_n27,27,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,28,0.047166,10,10,,11.112461,25,false,failed,,,0,0
ghz_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,19,0.015082,8,8,,10.899516,16,false,failed,,,0,0
vqe_two_local_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,417,0.869440,12,12,,10.058559,36,false,failed,,,0,0
qaoa_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,50,0.039366,6,6,,10.912831,9,false,failed,,,0,0
qft_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,682,0.916342,14,14,,9.628987,49,false,failed,,,0,0
qft_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,504,1.046131,16,16,,9.199976,64,false,failed,,,0,0
vqe_two_local_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,57,0.022401,6,6,,10.908523,9,false,failed,,,0,0
53qubits_155gate_57layers,27,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,23,0.027419,10,10,,10.845836,24,false,failed,,,0,0
ising_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,4,0.036352,16,16,,10.901291,64,false,failed,,,0,0
ghz_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,89,0.058331,18,18,,6.887099,81,false,failed,,,0,0
qft_n18,18,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,102,0.031048,8,8,,11.081213,16,false,failed,,,0,0
vqe_real_amp_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,103,0.032978,18,18,,2.899828,81,false,failed,,,0,0
vqe_two_local_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,2298,5.014673,16,16,,2.878060,64,false,failed,,,0,0
synth_n100_d020_mix100_t030_hf000_hm001_r2_s0,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,563,1.739377,18,18,,2.861387,78,false,failed,,,0,0
bwt_n57,43,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,65619,5.432500,12,12,,4.078313,32,false,failed,,,0,0
wstate_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,91,0.051247,18,18,,5.826640,81,false,failed,,,0,0
ising_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,4,0.044791,18,18,,5.733983,81,false,failed,,,0,0
multiplier_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,40114,7.071898,14,14,,3.202108,42,false,failed,,,0,0
qft_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,590,1.794922,18,18,,4.936683,81,false,failed,,,0,0
bwt_n21,21,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,116400,5.665279,8,8,,8.504007,16,false,failed,,,0,0
qaoa_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,1958,4.615555,18,18,,2.961017,81,false,failed,,,0,0
synth_n100_d020_mix000_t030_hf000_hm001_r2_s0,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,762,3.957031,18,18,,4.521839,77,false,failed,,,0,0
synth_n100_d040_mix050_t030_hf000_hm001_r2_s1,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,1057,5.359016,18,18,,4.660462,78,false,failed,,,0,0
grover_n10,,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,,,,,,,,,,,error,,,,
qft_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,267,0.086433,10,10,,2.878811,25,false,failed,,,0,0
ghz_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,79,0.024069,16,16,,2.755500,64,false,failed,,,0,0
wstate_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,61,0.025031,14,14,,5.065891,49,false,failed,,,0,0
adder_n64_transpiled,64,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,181,0.040487,14,14,,9.580588,49,false,failed,,,0,0
ising_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,4,0.016385,14,14,,9.607433,49,false,failed,,,0,0
53qubits_332gate_152layers,39,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,41,0.025670,12,12,,9.622802,34,false,failed,,,0,0
qft_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,316,0.300531,12,12,,9.404240,36,false,failed,,,0,0
vqe_two_local_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,373,0.259604,10,10,,9.468924,25,false,failed,,,0,0
vqe_real_amp_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,63,0.015143,14,14,,9.781416,49,false,failed,,,0,0
qaoa_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,138,0.038276,8,8,,9.848679,16,false,failed,,,0,0
synth_n50_d040_mix000_t030_hf000_hm001_r2_s0,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,265,0.765422,14,14,,8.822328,47,false,failed,,,0,0
vqe_su2_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,83,0.017635,16,16,,9.820198,64,false,failed,,,0,0
ghz_state_n23,23,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,22,0.024292,8,8,,9.878390,16,false,failed,,,0,0
vqe_su2_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,53,0.020101,14,14,,9.887462,49,false,failed,,,0,0
graphstate_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,5,0.050510,18,18,,9.844174,81,false,failed,,,0,0
graphstate_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,6,0.032785,16,16,,9.855809,64,false,failed,,,0,0
wstate_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,11,0.010634,6,6,,10.027399,9,false,failed,,,0,0
graphstate_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,4,0.028100,12,12,,9.883092,36,false,failed,,,0,0
graphstate_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,5,0.018400,14,14,,9.846155,49,false,failed,,,0,0
graphstate_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,6,0.025173,10,10,,11.573135,25,false,failed,,,0,0
multiply_n13,6,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,4,4,2,0.029356,4,4,,11.597725,4,false,failed,,,0,0
wstate_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,51,0.030909,14,14,,11.578685,49,false,failed,,,0,0
synth_n50_d040_mix100_t030_hf000_hm001_r2_s0,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,233,0.577483,14,14,,10.806412,47,false,failed,,,0,0
qft_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,933,2.118441,16,16,,7.744482,64,false,failed,,,0,0
ghz_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,9,0.021487,6,6,,11.649768,9,false,failed,,,0,0
qaoa_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,1091,1.972504,14,14,,8.176178,49,false,failed,,,0,0
ising_n26,26,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,4,0.047332,10,10,,11.699722,25,false,failed,,,0,0
qaoa_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,845,2.292680,16,16,,7.049173,64,false,failed,,,0,0
vqe_real_amp_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,33,0.027923,10,10,,11.776127,25,false,failed,,,0,0
square_root_n45,32,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,570,0.268249,10,10,,11.528330,25,false,failed,,,0,0
multiplier_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,17411,3.338015,12,12,,7.102590,32,false,failed,,,0,0
vqe_two_local_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,1514,3.719373,14,14,,6.683599,49,false,failed,,,0,0
vqe_two_local_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,1080,4.715235,16,16,,6.727799,64,false,failed,,,0,0
bwt_n37,28,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,33639,3.532797,10,10,,8.219344,22,false,failed,,,0,0
vqe_su2_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,103,0.046929,18,18,,5.652399,81,false,failed,,,0,0
graphstate_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,8,0.074708,18,18,,5.879740,81,false,failed,,,0,0
qaoa_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,1207,5.332071,18,18,,6.145027,81,false,failed,,,0,0
qft_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,774,2.282835,18,18,,4.648747,81,false,failed,,,0,0
synth_n100_d040_mix000_t030_hf000_hm001_r2_s1,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,1433,6.396988,18,18,,4.238757,77,false,failed,,,0,0
19qubits_521gate_352layers,19,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,288,30.486869,8,8,,5.632945,16,false,failed,,,0,0
vqe_two_local_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,1618,9.358619,18,18,,5.994708,81,false,failed,,,0,0
qaoa_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,415,31.143977,14,14,,5.943165,49,false,failed,,,0,0
ghz_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,99,30.164544,18,18,,2.784662,81,false,failed,,,0,0
vqe_real_amp_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,93,0.049057,18,18,,4.975237,81,false,failed,,,0,0
wstate_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,101,0.057025,18,18,,5.138331,81,false,failed,,,0,0
randomcircuit_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,3565,5.465209,14,14,,5.425337,46,false,failed,,,0,0
synth_n100_d020_mix050_t030_hf000_hm001_r2_s0,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,801,3.538831,18,18,,4.498101,77,false,failed,,,0,0
vqe_two_local_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,2858,17.831618,18,18,,4.791321,81,false,failed,,,0,0
synth_n100_d040_mix100_t030_hf000_hm001_r2_s1,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,1087,5.638315,18,18,,4.610864,78,false,failed,,,0,0
wstate_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,31,0.014651,10,10,,2.963293,25,false,failed,,,0,0
ising_n90,90,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,4,60.653360,18,18,,2.801133,81,false,failed,,,0,0
graphstate_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,4,0.008377,8,8,,5.440471,16,false,failed,,,0,0
adder_n28,28,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,24,0.009657,10,10,,5.473139,25,false,failed,,,0,0
vqe_real_amp_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,83,0.037934,16,16,,4.677249,64,false,failed,,,0,0
vqe_real_amp_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,73,0.037696,16,16,,5.360424,64,false,failed,,,0,0
wstate_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,81,0.038686,16,16,,4.922832,64,false,failed,,,0,0
qaoa_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,265,0.149039,10,10,,5.337753,25,false,failed,,,0,0
multiplier_n75,45,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,60,0.029424,16,16,62,36.487867,64,false,success,1.0333,,0,0
qft_n64,64,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,915,1.067101,14,14,,4.616698,49,false,failed,,,0,0
dnn_n16,16,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,71,0.021927,6,6,,2.787981,9,false,failed,,,0,0
vqe_su2_n70,70,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,73,90.862337,16,16,,2.774757,64,false,failed,,,0,0
qft_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,47,0.015101,6,6,,4.894224,9,false,failed,,,0,0
vqe_su2_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,23,0.012547,8,8,,5.043941,16,false,failed,,,0,0
graphstate_n60,60,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,5,0.022706,14,14,,4.585158,49,false,failed,,,0,0
multiplier_n80,80,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,72016,38.479996,16,16,,6.517428,54,false,failed,,,0,0
qft_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,143,0.041630,8,8,,2.770534,16,false,failed,,,0,0
square_root_n18,14,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,28,0.014832,6,6,,4.502770,9,false,failed,,,0,0
qaoa_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,319,0.319891,12,12,,4.479493,36,false,failed,,,0,0
bwt_n97,73,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,16,16,129710,40.103535,16,16,,8.885210,53,false,failed,,,0,0
ghz_n30,30,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,10,10,29,0.013486,10,10,,2.821221,25,false,failed,,,0,0
wstate_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,41,0.010914,12,12,,4.200612,36,false,failed,,,0,0
graphstate_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,4,151.350991,6,6,,4.340180,9,false,failed,,,0,0
grover_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,2219760,60.977173,8,8,,26.632798,14,false,failed,,,0,0
vqe_two_local_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,197,0.048183,8,8,,2.857861,16,false,failed,,,0,0
multiplier_n15,9,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,4,4,12,0.010199,4,4,,4.739838,4,false,failed,,,0,0
ghz_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,39,181.469623,12,12,,4.543187,36,false,failed,,,0,0
vqe_real_amp_n10,10,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,13,0.013294,6,6,,3.129771,9,false,failed,,,0,0
wstate_n20,20,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,8,8,21,211.702789,8,8,,4.369629,16,false,failed,,,0,0
multiplier_n100,100,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,18,18,112834,94.009016,18,18,,6.787473,69,false,failed,,,0,0
multiplier_n45,27,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,36,0.021762,12,12,36,5.568990,36,false,success,1.0000,,0,0
ising_n40,40,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,12,12,4,0.020673,12,12,,2.778337,36,false,failed,,,0,0
ising_n50,50,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,14,14,4,0.022667,14,14,,2.827376,49,false,failed,,,0,0
seca_n11,11,gaussian,fine,connectivity,packing,smart_t_routing,True,center_circle,-1,15.0,,0,6,6,19,0.013936,6,6,,2.730780,9,false,failed,,,0,0
